Permalink BSG	Kurztitel
http://permalink.snl.ch/bib/chbsg000136583	Bruppacher 1906
http://permalink.snl.ch/bib/chbsg000070135	BUB
http://permalink.snl.ch/bib/chbsg000141189	Büchel 1902
http://permalink.snl.ch/bib/chbsg000141151	Büchel 1912
http://permalink.snl.ch/bib/chbsg000141190	Büchel 1923
http://permalink.snl.ch/bib/chbsg000150479	Büchel 1927
http://permalink.snl.ch/bib/chbsg000150447	Büchel, Regesten
http://permalink.snl.ch/bib/chbsg000138875	Buchholzer/Lachaud 2014
http://permalink.snl.ch/bib/chbsg000138881	Buchholzer/Richard 2014
http://permalink.snl.ch/bib/chbsg000137471	Büchi 1931
http://permalink.snl.ch/bib/chbsg000137627	Büchi, Aktenstücke
http://permalink.snl.ch/bib/chbsg000140931	Bugg 2006
http://permalink.snl.ch/bib/chbsg000135495	Bugmann 1949
http://permalink.snl.ch/bib/chbsg000135492	Bühler 1922
http://permalink.snl.ch/bib/chbsg000136881	Bühler 1945
http://permalink.snl.ch/bib/chbsg000151038	Bühlmann 1916
http://permalink.snl.ch/bib/chbsg000151000	Buhofer 2002
http://permalink.snl.ch/bib/chbsg000114781	Bührer 1977
http://permalink.snl.ch/bib/chbsg000137629	Bullinger, Korrespondenz
http://permalink.snl.ch/bib/chbsg000135613	Bullinger, Reformationsgeschichte
http://permalink.snl.ch/bib/chbsg000151039	Bullinger, Schriften
http://permalink.snl.ch/bib/chbsg000151040	Bullinger, Schriften zum Tage
http://permalink.snl.ch/bib/chbsg991001173948603977	Burger 1960
http://permalink.snl.ch/bib/chbsg000143329	Bürger 1997
http://permalink.snl.ch/bib/chbsg000091122	Burghartz 1990
http://permalink.snl.ch/bib/chbsg000067138	Burghartz dans Berrisch et al. 1986
http://permalink.snl.ch/bib/chbsg000138506	Bürkli-Meyer, Fabrikgesetzgebung
http://permalink.snl.ch/bib/chbsg000141029	Burmeister 1991
http://permalink.snl.ch/bib/chbsg000083181	Burmeister 1996
http://permalink.snl.ch/bib/chbsg000044942	Burmeister 2005
http://permalink.snl.ch/bib/chbsg000150287	Burmeister 2006
http://permalink.snl.ch/bib/chbsg000114276	Büsser 1985
http://permalink.snl.ch/bib/chbsg000043149	Büsser 2004-2005
http://permalink.snl.ch/bib/chbsg000142471	Calame 1829
http://permalink.snl.ch/bib/chbsg000142453	Calame 1858
http://permalink.snl.ch/bib/chbsg000149430	Campi 2017
http://permalink.snl.ch/bib/chbsg000141640	Cannata 1987
http://permalink.snl.ch/bib/chbsg000027733	Caretta 2001
http://permalink.snl.ch/bib/chbsg000048497	Casanova 2007
http://permalink.snl.ch/bib/chbsg991001204547903977	Castella 1922
http://permalink.snl.ch/bib/chbsg000141586	Chabloz 1876
http://permalink.snl.ch/bib/chbsg000085332	Chambrier 1840
http://permalink.snl.ch/bib/chbsg000074334	Chambrier 1840a
http://permalink.snl.ch/bib/chbsg991001220743703977	Charageat/Soula et al. 2014
http://permalink.snl.ch/bib/chbsg000150448	Chmel, Regesta
http://permalink.snl.ch/bib/chbsg000106060	Choffat 1989
http://permalink.snl.ch/bib/chbsg000137670	Chronik der Stadt Zürich
http://permalink.snl.ch/bib/chbsg000056393	ChSG
http://permalink.snl.ch/bib/chbsg000074977	Clottu 1987
http://permalink.snl.ch/bib/chbsg000089162	CMD-CH
http://permalink.snl.ch/bib/chbsg000107618	Cordes 1993
http://permalink.snl.ch/bib/chbsg000141769	Courvoisier 1968
http://permalink.snl.ch/bib/chbsg000022447	Crespo 2001
http://permalink.snl.ch/bib/chbsg000109248	Cuendet 1979
http://permalink.snl.ch/bib/chbsg000107481	Curti 1988
http://permalink.snl.ch/bib/chbsg000138127	Dalcher 1957
http://permalink.snl.ch/bib/chbsg000136486	Dändliker 1896
http://permalink.snl.ch/bib/chbsg000136487	Dändliker 1898
http://permalink.snl.ch/bib/chbsg000138510	Dändliker 1908-1912
http://permalink.snl.ch/bib/chbsg000137527	Dändliker 1952
http://permalink.snl.ch/bib/chbsg991001204749003977	De Foras 1863
http://permalink.snl.ch/bib/chbsg991001190348303977	De Montet 1884
http://permalink.snl.ch/bib/chbsg000142295	de Tribolet 1846
http://permalink.snl.ch/bib/chbsg000053684	De Vincenti-Schwab 2008
http://permalink.snl.ch/bib/chbsg000136781	Debrunner 1972
http://permalink.snl.ch/bib/chbsg991001190348403977	Déglon 1949
http://permalink.snl.ch/bib/chbsg000142299	Demole/Wavre 1939
http://permalink.snl.ch/bib/chbsg000150459	Denier, Urkunden
http://permalink.snl.ch/bib/chbsg000135544	Denzler 1858
http://permalink.snl.ch/bib/chbsg000138511	Denzler 1920
http://permalink.snl.ch/bib/chbsg000080293	Deplazes-Haefliger 1976
http://permalink.snl.ch/bib/chbsg000064176	Deplazes-Haefliger 1991
http://permalink.snl.ch/bib/chbsg000082505	Deplazes-Haefliger 1998
http://permalink.snl.ch/bib/chbsg000144836	DHBS
http://permalink.snl.ch/bib/chbsg000135547	Diener 1901
http://permalink.snl.ch/bib/chbsg000043334	Diethelm 2004
http://permalink.snl.ch/bib/chbsg000106826	Dietrich 1985
http://permalink.snl.ch/bib/chbsg000138246	Dilcher 1991
http://permalink.snl.ch/bib/chbsg000150124	Dilcher 2004
http://permalink.snl.ch/bib/chbsg991001204547803977	Dillenseger 1914
http://permalink.snl.ch/bib/chbsg000149757	Dirlmeier 1981
http://permalink.snl.ch/bib/chbsg000151169	Dirlmeier 1988
http://permalink.snl.ch/bib/chbsg000142590	Dölemeyer 1995
http://permalink.snl.ch/bib/chbsg000070203	Domeisen 1975
http://permalink.snl.ch/bib/chbsg000089413	Dörner 1996
http://permalink.snl.ch/bib/chbsg991001221049003977	Dorthe 2007
http://permalink.snl.ch/bib/chbsg991001221449003977	Dubas 1995
http://permalink.snl.ch/bib/chbsg000092847	Dubler 1975
http://permalink.snl.ch/bib/chbsg000084084	Dubler 1982
http://permalink.snl.ch/bib/chbsg991001180048803977	Dülmen 1999
http://permalink.snl.ch/bib/chbsg000030192	Dunand 2002
http://permalink.snl.ch/bib/chbsg000098046	Dünki 1995
http://permalink.snl.ch/bib/chbsg000136885	Dünki 2011
http://permalink.snl.ch/bib/chbsg000114745	Dütsch 1994
http://permalink.snl.ch/bib/chbsg000144852	DWB
http://permalink.snl.ch/bib/chbsg000150488	DWR 1914ff
http://permalink.snl.ch/bib/chbsg000135614	EA 1839-1886
http://permalink.snl.ch/bib/chbsg000143941	EA, Bd. 1
http://permalink.snl.ch/bib/chbsg000143942	EA, Bd. 2
http://permalink.snl.ch/bib/chbsg000143827	EA, Bd. 3/1
http://permalink.snl.ch/bib/chbsg000143826	EA, Bd. 3/2
http://permalink.snl.ch/bib/chbsg000143943	EA, Bd. 4/1a
